City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,miahuatlan de porfirio diaz,16.3333,-96.6,16.27,94,97,2.56,MX,1730175987
84,dingwall,57.5953,-4.4272,7.99,95,84,2.55,GB,1730175989
85,gursarai,25.6148,79.1788,29.03,54,2,1.64,IN,1730175991
86,priozersk,61.0393,30.1291,2.83,85,14,3.69,RU,1730175992
87,bosobolo,4.1833,19.9,21.9,95,11,1.37,CD,1730175993
88,santa ana de yacuma,-13.75,-65.4333,25.97,65,55,1.57,BO,1730175994
89,iskateley,67.6803,53.1512,1.0,84,100,6.83,RU,1730175995
90,blackmans bay,-43.0167,147.3167,20.85,47,13,2.7,AU,1730175997
91,kailua-kona,19.6406,-155.9956,25.86,94,93,2.4,US,1730175998
92,ewo,-0.8725,14.8206,21.67,96,83,1.92,CG,1730175999
93,santiago de cao,-7.9589,-79.2392,16.07,88,56,3.09,PE,1730176000
94,arica,-18.475,-70.3042,18.13,72,100,1.54,CL,1730175708
95,songea,-10.6833,35.65,19.54,82,6,2.69,TZ,1730176002
96,lucea,18.451,-78.1736,26.92,84,88,6.78,JM,1730176003
97,lafia,8.4833,8.5167,22.64,64,7,1.18,NG,1730176004
98,severnoye,56.3491,78.3619,2.08,84,100,4.37,RU,1730176006
99,lata,40.1629,-8.3327,10.23,87,0,2.18,PT,1730176007
100,kodiak,57.79,-152.4072,6.73,100,100,3.6,US,1730176008
101,holualoa,19.6228,-155.9522,23.79,93,93,1.94,US,1730176009
102,urangan,-25.3,152.9,25.42,54,0,5.75,AU,1730176010
103,afaahiti,-17.75,-149.2833,23.24,71,93,7.72,PF,1730176011
104,nadi,-17.8,177.4167,28.0,69,75,5.14,FJ,1730176012
105,tolanaro,-25.0319,46.9987,25.04,88,40,7.2,MG,1730176014
106,qaqortoq,60.7167,-46.0333,-0.18,96,100,2.48,GL,1730176090
107,enewetak,11.3474,162.3373,28.84,74,81,5.21,MH,1730176091
108,atafu village,-8.5421,-172.5159,28.31,71,95,1.88,TK,1730176092
109,olonkinbyen,70.9221,-8.7187,-4.12,89,100,7.55,SJ,1730176093
110,ushuaia,-54.8,-68.3,5.81,65,0,0.51,AR,1730175523
111,lang suan,9.9456,99.0785,30.78,64,79,3.09,TH,1730176095
112,kitui,-1.367,38.0106,17.92,87,98,1.29,KE,1730175583
113,puerto ayora,-0.7393,-90.3518,19.91,85,54,4.07,EC,1730176098
114,qamdo,31.1667,97.2333,9.53,29,81,3.66,CN,1730176099
115,semera,11.501,41.201,25.2,56,22,3.56,ET,1730176101
116,invercargill,-46.4,168.35,11.68,65,27,5.81,NZ,1730176102
117,olavarria,-36.8927,-60.3225,16.12,43,0,2.68,AR,1730176103
118,rosario oeste,-14.8361,-56.4275,23.4,95,100,0.76,BR,1730176105
119,bilibino,68.0546,166.4372,-21.27,95,89,1.57,RU,1730176106
120,elbeuf,49.2867,1.0029,10.37,94,100,2.06,FR,1730176107
121,kisangani,0.5167,25.2,21.05,99,95,0.4,CD,1730176108
122,zaragoza,41.6561,-0.8773,15.01,73,75,3.09,ES,1730176109
123,al khafji,28.4391,48.4913,21.11,32,0,5.05,SA,1730176110
124,laguna,38.421,-121.4238,15.1,67,0,3.6,US,1730176111
125,amahai,-3.3333,128.9167,29.15,72,93,4.33,ID,1730176112
126,kununurra,-15.7667,128.7333,39.99,25,20,7.2,AU,1730176115
127,katabu,-4.9333,122.5167,34.78,43,95,1.51,ID,1730176116
128,naryn,41.4287,75.9911,0.38,55,28,0.78,KG,1730176117
129,akureyri,65.6835,-18.0878,3.96,81,75,1.54,IS,1730176118
130,sanctuary point,-35.1114,150.629,18.87,56,10,4.76,AU,1730176119
131,tabou,4.423,-7.3528,24.42,93,99,2.02,CI,1730176120
132,fisterra,42.9049,-9.2629,15.23,79,42,7.07,ES,1730176122
133,petropavl,54.8753,69.1628,-0.01,100,100,2.0,KZ,1730175853
134,nieves,15.3274,120.9485,29.58,74,100,4.2,PH,1730176124
135,vilhena,-12.7406,-60.1458,21.48,93,55,1.4,BR,1730175622
136,arraial do cabo,-22.9661,-42.0278,21.63,86,100,5.53,BR,1730176126
137,touros,-5.1989,-35.4608,25.4,73,10,6.05,BR,1730176127
138,ancud,-41.8697,-73.8203,8.93,92,38,2.01,CL,1730176128
139,lihue,21.9789,-159.3672,24.3,89,100,6.97,US,1730176129
140,tamiahua,21.2667,-97.45,22.41,88,83,1.14,MX,1730176131
141,anadyr,64.75,177.4833,-7.72,86,0,4.0,RU,1730176132
142,hermanus,-34.4187,19.2345,16.0,87,34,2.93,ZA,1730176133
143,severo-yeniseyskiy,60.3725,93.0408,-2.35,93,100,1.19,RU,1730176134
144,saint-philippe,-21.3585,55.7679,24.6,74,5,3.73,RE,1730176135
145,tobruk,32.0836,23.9764,20.18,63,12,5.41,LY,1730176136
146,tsiombe,-25.3,45.4833,27.18,63,100,3.77,MG,1730176137
147,port mathurin,-19.6833,63.4167,23.39,76,41,4.23,MU,1730176138
148,barra de santo antonio,-9.4047,-35.5072,25.3,74,87,5.29,BR,1730176140
149,nan,18.8333,100.6667,28.01,61,0,1.54,TH,1730176141
150,rongelap,11.1635,166.8941,28.81,75,77,3.54,MH,1730176143
151,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,44,75,15.0,RU,1730176144
152,same,-4.0667,37.7333,20.32,74,6,0.91,TZ,1730176145
153,hithadhoo,-0.6,73.0833,27.44,78,100,4.53,MV,1730176146
154,hamilton,39.1834,-84.5333,17.77,75,40,5.66,US,1730175655
155,west island,-12.1568,96.8225,28.99,74,75,5.14,CC,1730176149
156,whitehorse,60.7161,-135.0538,-6.57,86,75,8.23,CA,1730176150
157,whangarei,-35.7317,174.3239,19.82,51,85,5.31,NZ,1730176151
158,geraldton,-28.7667,114.6,31.23,30,0,6.17,AU,1730175893
159,joshimath,30.5667,79.5667,16.93,37,0,2.05,IN,1730176061
160,chiredzi,-21.05,31.6667,26.1,55,100,1.81,ZW,1730176154
161,dzilam gonzalez,21.2833,-88.9333,23.08,94,85,2.05,MX,1730176155
162,alta,69.9689,23.2717,2.59,68,32,11.32,NO,1730176156
163,moyynkum,44.2914,72.9469,6.99,53,100,2.22,KZ,1730176158
164,christchurch,-43.5333,172.6333,13.84,69,75,7.72,NZ,1730175946
165,ebon,4.582,168.6964,28.1,72,50,2.31,MH,1730176161
166,taungdwingyi,20.0167,95.55,29.99,72,2,1.14,MM,1730176162
167,belmonte,-15.8631,-38.8828,23.24,89,9,0.71,BR,1730176163
168,mitu,1.1983,-70.1733,22.19,99,100,0.94,CO,1730176164
169,banda aceh,5.5577,95.3222,29.87,66,95,7.38,ID,1730176165
170,la sarre,48.8002,-79.1996,0.82,50,100,5.35,CA,1730176167
171,francistown,-21.17,27.5079,19.64,19,24,2.21,BW,1730176168
172,kapa'a,22.0752,-159.319,24.71,89,100,2.24,US,1730176169
173,mingshui,36.7167,117.5,20.35,39,0,2.84,CN,1730176170
174,wells beach station,43.324,-70.5914,0.41,81,2,1.21,US,1730176171
175,kirensk,57.7853,108.1119,1.1,92,91,0.23,RU,1730176172
176,ironwood,46.4547,-90.171,16.45,67,20,3.6,US,1730176173
177,bubaque,11.2833,-15.8333,28.35,69,8,3.26,GW,1730176174
178,issia,6.4922,-6.5856,22.16,100,99,0.9,CI,1730176176
179,pisco,-13.7,-76.2167,17.03,88,0,1.54,PE,1730176058
180,verkhnevilyuysk,63.4453,120.3167,-13.03,87,99,1.73,RU,1730176178
181,gejiu,23.306,103.1635,17.76,59,6,1.41,CN,1730176179
182,lebu,-37.6167,-73.65,10.35,95,30,5.25,CL,1730176180
183,madang,-5.2246,145.7966,27.86,75,100,3.19,PG,1730176181
184,alofi,-19.0595,-169.9187,26.94,69,40,6.69,NU,1730176182
185,ampanihy,-24.7,44.75,30.2,38,94,4.71,MG,1730176183
186,kambove,-10.8764,26.5969,17.92,88,95,1.2,CD,1730176185
187,maragogi,-9.0122,-35.2225,24.76,77,55,4.23,BR,1730176186
188,thinadhoo,0.5333,72.9333,28.1,72,83,5.24,MV,1730176187
189,flying fish cove,-10.4217,105.6791,27.82,78,75,5.66,CX,1730176188
190,smithers,54.7804,-127.1743,0.18,100,75,0.0,CA,1730176189
191,kyren,51.6828,102.1408,6.84,53,96,0.35,RU,1730176190
192,crescent city,41.756,-124.2018,9.16,91,75,0.0,US,1730176191
193,al ghayzah,16.2079,52.176,26.44,68,37,1.16,YE,1730176192
194,al kharijah,25.4514,30.5464,16.98,63,20,3.49,EG,1730176194
195,katsuren-haebaru,26.3369,127.8719,26.01,91,100,5.14,JP,1730176195
196,troitskoye,52.9821,84.6757,1.72,95,100,9.58,RU,1730176196
197,nuuk,64.1835,-51.7216,-2.66,74,100,1.54,GL,1730176197
198,guerrero negro,27.9769,-114.0611,18.59,88,0,7.55,MX,1730176198
199,palmer,42.1584,-72.3287,4.75,83,100,0.0,US,1730176199
200,ilulissat,69.2167,-51.1,-11.99,48,22,2.57,GL,1730176019
201,mandleshwar,22.1833,75.6667,29.29,44,6,1.9,IN,1730176201
202,rikaze,29.25,88.8833,12.0,24,2,0.45,CN,1730176203
203,ponta delgada,37.7333,-25.6667,18.44,88,75,3.6,PT,1730176204
204,santa marta,11.2408,-74.199,29.03,77,75,1.54,CO,1730176078
205,san patricio,28.017,-97.5169,25.97,75,0,6.54,US,1730176206
206,barakani,-12.1356,44.4317,26.99,77,33,6.06,KM,1730176207
207,nagqu,31.5,92.0,10.87,15,0,7.26,CN,1730176208
208,alupka,44.4167,34.05,13.97,85,70,1.69,UA,1730176209
209,recife,-8.0539,-34.8811,27.02,74,40,5.14,BR,1730176211
210,gadzhiyevo,69.2551,33.3362,2.48,74,22,11.9,RU,1730176090
211,shchigry,51.8755,36.9043,7.54,89,100,2.57,RU,1730176216
212,kone,-21.0595,164.8658,25.69,66,95,4.13,NC,1730176217
213,kuala lipis,4.1842,102.0468,35.18,42,98,0.86,MY,1730176219
214,cabo san lucas,22.8909,-109.9124,25.76,62,1,5.19,MX,1730176220
215,suoyarvi,62.0833,32.35,2.73,84,81,4.16,RU,1730176221
216,parabel',58.6978,81.4825,1.25,81,100,3.83,RU,1730176222
217,chios,38.3678,26.1358,19.92,32,0,3.6,GR,1730176223
218,lycksele,64.5954,18.6735,-0.07,74,20,0.0,SE,1730176216
219,menongue,-14.6585,17.691,18.47,48,28,1.78,AO,1730176225
220,rabaul,-4.1967,152.1721,29.92,67,19,1.33,PG,1730176227
221,inda silase,14.1031,38.2829,19.03,63,8,1.9,ET,1730176228
222,port lincoln,-34.7333,135.8667,17.72,58,0,3.96,AU,1730176230
223,bathurst,-33.4166,149.5806,26.09,39,4,3.13,AU,1730176231
224,huautla de jimenez,18.1315,-96.8409,13.6,97,100,0.52,MX,1730176232
225,lompoc,34.6391,-120.4579,14.45,82,100,7.72,US,1730176233
226,wanganui,-39.9333,175.05,14.67,66,87,6.34,NZ,1730176234
227,nurota,40.5614,65.6886,7.48,64,0,2.13,UZ,1730176236
228,nemuro,43.3236,145.575,10.21,52,4,4.07,JP,1730176237
229,lesnoy,57.6198,63.0784,0.91,78,99,1.56,RU,1730176238
230,daqing,46.5833,125.0,10.34,48,100,3.3,CN,1730175995
231,guarapari,-20.6667,-40.4975,21.33,96,100,2.48,BR,1730176036
232,calbuco,-41.768,-73.1273,11.55,85,64,6.91,CL,1730176242
233,stornoway,58.2093,-6.3865,10.05,95,100,2.57,GB,1730176243
234,grand falls-windsor,48.9332,-55.6649,-1.94,90,35,2.2,CA,1730176245
235,tommot,58.9564,126.2925,-2.49,88,100,2.22,RU,1730176246
236,bengkulu,-3.8004,102.2655,30.06,64,8,4.55,ID,1730176241
237,xilin hot,43.9667,116.0333,7.57,56,6,5.23,CN,1730176248
238,mantua,45.1667,10.7833,12.77,97,4,1.34,IT,1730176249
239,san antonio,29.4241,-98.4936,24.92,80,0,6.17,US,1730175680
240,kingston,17.997,-76.7936,28.53,84,20,3.09,JM,1730175986
241,beboto,8.2668,16.939,21.17,67,19,0.49,TD,1730176253
242,santa ana,33.7456,-117.8678,17.26,79,75,2.24,US,1730176035
243,yar,58.249,52.1026,2.11,94,100,3.41,RU,1730176255
